accelerator,1.235
banana fiber,1.325
basalt fiber,2.415
bamboo pulp,1.558
carbon fiber,1.7025
CMC,1.59
CNC,1.6
CNF,1.5
cotton fiber,1.5
coir fiber,1.2145
common clay,2.65
crumb rubber,1.168875
ethylene vinyl acetate,0.95
eucalyptus pulp,1.4
flax fiber,1.45
fly ash,2.3725
glass fiber,2.384444444
gypsum,2.32
hemp fiber,1.45
hemp shives,0.9625
HPMC,1.39
hydrated lime,2.24
juncus fiber,1.216
jute fiber,1.243333333
kaolin,2.65
kenaf fiber,1.325
lime,3.34
limestone,1.201383994
metakaolin,2.55
nano clay,2.51
PBO fiber,1.56
PE fiber,0.97
perlite,0.1525
plasticizer,1.11673
potassium silicate,2.4
potato starch,0.51
PP fiber,0.9066
PVA fiber,1.293333333
quartz,2.65
recycled carbon fiber,1.7025
recycled waste paper pulp,1.566
retarder,1.1865
sand,2.65
silica fume,0.5225
sisal fiber,1.39125
slag,2.91
sodium hydroxide,2.13
sodium polymethacrylate,1.263
sodium silicate,2.6
soil,2.375
steel fiber,7.85
straw,0.3175
type 1 portland cement,3.16
type 2 portland cement,3.16
Weber 3D 115,2.2
air entrainer,1.015
surfactant,1.015
VMA,1.39
waste glass,1.315
CSA cement,2.61
type 1L portland cement,3.15
